name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,dt,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,dt,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,dt,impute_linear_regression
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,dt,impute_mean
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,dt,impute_random
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,lr,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,lr,impute_mode
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,lr,impute_random
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,lr,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,lr,impute_random
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,knn,impute_standard
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,knn,impute_std
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,knn,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,knn,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,knn,impute_random
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4942,nb,impute_standard
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.4017,nb,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2892,nb,impute_standard
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.21,nb,impute_knn
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.0917,nb,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4942,dt,impute_mode
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4017,dt,impute_standard
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2892,dt,impute_linear_regression
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.21,dt,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.0917,dt,impute_random
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4942,lr,impute_linear_regression
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4017,lr,impute_mode
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2892,lr,impute_linear_regression
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.21,lr,impute_linear_regression
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.0917,lr,impute_knn
